timestamp,event_type,details,window_title,application,bbox_x,bbox_x,bbox_width,bbox_height
2025-08-22T09:27:19.294000+00:00,Navigation,tabId=581319089,New tab,tab-581319089,,,,
2025-08-22T09:27:19.464000+00:00,Navigation,tabId=581319089 | url=edge://newtab/,New tab,tab-581319089,,,,
2025-08-22T09:27:21.465000+00:00,Navigation,tabId=581319089 | url=edge://newtab/,New tab,tab-581319089,,,,
2025-08-22T09:27:21.744000+00:00,Navigation,tabId=581319093,,tab-581319093,,,,
2025-08-22T09:27:22.352000+00:00,Navigation,tabId=581319093 | url=https://www.flipkart.com/?affid=affveve&affExtParam1=60827&affExtParam2=26c5791927b9bac66b777d03d298e9a7,flipkart.com/?affid=affveve&affExtParam1=60827&affExtParam2=26c5791927b9bac66b777d03d298e9a7,tab-581319093,,,,
2025-08-22T09:27:23.546000+00:00,Navigation,tabId=581319093 | url=https://www.flipkart.com/?affid=affveve&affExtParam1=60827&affExtParam2=26c5791927b9bac66b777d03d298e9a7,"Online Shopping Site for Mobiles, Electronics, Furniture, Grocery, Lifestyle, Books & More. Best Offers!",tab-581319093,,,,
2025-08-22T09:27:27.721000+00:00,FormAction,tabId=581319093 | url=https://www.flipkart.com/?affid=affveve&affExtParam1=60827&affExtParam2=26c5791927b9bac66b777d03d298e9a7 | data.action=https://www.flipkart.com/search | data.method=get,,tab-581319093,,,,
2025-08-22T09:27:35.679000+00:00,FormAction,tabId=581319093 | url=https://www.flipkart.com/?affid=affveve&affExtParam1=60827&affExtParam2=26c5791927b9bac66b777d03d298e9a7 | data.action=https://www.flipkart.com/search | data.method=get,,tab-581319093,,,,
2025-08-22T09:27:37.153000+00:00,FormAction,tabId=581319093 | url=https://www.flipkart.com/?affid=affveve&affExtParam1=60827&affExtParam2=26c5791927b9bac66b777d03d298e9a7 | data.action=https://www.flipkart.com/search | data.method=get,,tab-581319093,,,,
2025-08-22T09:27:38.161000+00:00,FormAction,tabId=581319093 | url=https://www.flipkart.com/?affid=affveve&affExtParam1=60827&affExtParam2=26c5791927b9bac66b777d03d298e9a7 | data.action=https://www.flipkart.com/search | data.method=get,,tab-581319093,,,,
2025-08-22T09:27:42.831000+00:00,Click,tabId=581319093 | url=https://www.flipkart.com/?affid=affveve&affExtParam1=60827&affExtParam2=26c5791927b9bac66b777d03d298e9a7 | data.selector=div.yAlKeh | data.tag=div | data.class=yAlKeh,,tab-581319093,0.0,0.0,767.0,662.0
2025-08-22T09:27:44.953000+00:00,Click,tabId=581319093 | url=https://www.flipkart.com/?affid=affveve&affExtParam1=60827&affExtParam2=26c5791927b9bac66b777d03d298e9a7 | data.selector=div._1yQHx8._2UnIQ_._3ak8Rd | data.tag=div | data.class=_1yQHx8 _2UnIQ_ _3ak8Rd _2y8Yzt,,tab-581319093,16.0,16.0,1115.0,480.0
2025-08-22T09:27:46.850000+00:00,Click,tabId=581319093 | url=https://www.flipkart.com/?affid=affveve&affExtParam1=60827&affExtParam2=26c5791927b9bac66b777d03d298e9a7 | data.selector=img._2puWtW._3a3qyb | data.tag=img | data.class=_2puWtW _3a3qyb,,tab-581319093,542.0,542.0,64.0,64.0
2025-08-22T09:27:49.686000+00:00,Navigation,tabId=581319089 | url=edge://newtab/,New tab,tab-581319089,,,,
2025-08-22T09:27:51.003000+00:00,Navigation,tabId=581319083 | url=edge://extensions/,Extensions,tab-581319083,,,,
2025-08-22T09:27:54.510000+00:00,Window,,,tab-unknown,,,,
2025-08-22T14:26:16.031000+00:00,Navigation,tabId=581319154 | url=edge://newtab/,New tab,tab-581319154,,,,
2025-08-22T14:26:16.766000+00:00,Navigation,tabId=581319154 | url=edge://newtab/,New tab,tab-581319154,,,,
2025-08-22T14:26:33.453000+00:00,Navigation,tabId=581319154 | url=edge://extensions/,edge://extensions,tab-581319154,,,,
2025-08-22T14:26:34.827000+00:00,Navigation,tabId=581319154 | url=edge://extensions/,Extensions,tab-581319154,,,,
2025-08-22T14:26:59.092000+00:00,Window,,,tab-unknown,,,,
2025-08-22T14:28:29.338000+00:00,Window,,,tab-unknown,,,,
2025-08-22T14:28:36.468000+00:00,Navigation,tabId=581319201 | url=edge://newtab/,New tab,tab-581319201,,,,
2025-08-22T14:29:08.256000+00:00,Navigation,tabId=581319201 | url=https://xbot-test.exlservice.com/Reconciliation/OrderEntry,xbot-test.exlservice.com/Reconciliation/OrderEntry,tab-581319201,,,,
2025-08-22T14:29:10.909000+00:00,Navigation,tabId=581319201 | url=https://xbot-test.exlservice.com/Reconciliation/OrderEntry,CRM - Order Entry,tab-581319201,,,,
