timestamp,event_type,details,window_title,application,bbox_x,bbox_y,bbox_width,bbox_height
2025-08-01 09:00:09,keypress,Enter,Cmd,cmd,,,,
2025-08-01 09:00:15,keypress,Enter,https://example.com/home,chrome_tab_2,,,,
2025-08-01 09:00:23,keypress,key_A,https://example.com/home,chrome_tab_2,,,,
2025-08-01 09:00:27,keypress,key_A,Excel,excel,,,,
2025-08-01 09:00:32,mousemove,move,Outlook,outlook,,,,
2025-08-01 09:00:39,keypress,Enter,https://example.com/settings,chrome_tab_2,,,,
2025-08-01 09:00:47,click,unknown_event,Outlook,outlook,110,14,123,75
2025-08-01 09:00:54,keypress,Ctrl+C,Excel,excel,,,,
2025-08-01 09:00:56,mousemove,drag,Outlook,outlook,,,,
2025-08-01 09:01:02,scroll,scroll_down,https://another.com/page1,chrome_tab_1,,,,
2025-08-01 09:01:03,click,right_click,Notepad,notepad,977,170,121,14
2025-08-01 09:01:07,click,right_click,Outlook,outlook,481,996,90,62
2025-08-01 09:01:16,scroll,scroll_down,Vscode,vscode,,,,
2025-08-01 09:01:19,click,double_click,Cmd,cmd,1016,480,118,191
2025-08-01 09:01:26,scroll,scroll_down,https://example.com/login,chrome_tab_1,,,,
2025-08-01 09:01:35,scroll,scroll_up,Notepad,notepad,,,,
2025-08-01 09:01:38,scroll,scroll_down,Outlook,outlook,,,,
2025-08-01 09:01:40,mousemove,move,Excel,excel,,,,
2025-08-01 09:01:42,mousemove,move,Outlook,outlook,,,,
2025-08-01 09:01:47,keypress,Ctrl+C,Cmd,cmd,,,,
2025-08-01 09:01:50,keypress,Ctrl+V,Notepad,notepad,,,,
2025-08-01 09:01:51,click,left_click,Vscode,vscode,1528,464,192,200
2025-08-01 09:01:59,scroll,scroll_down,https://another.com/page2,chrome_tab_1,,,,
2025-08-01 09:02:00,click,left_click,Outlook,outlook,431,381,72,39
2025-08-01 09:02:04,keypress,key_B,Cmd,cmd,,,,
2025-08-01 09:02:12,click,double_click,https://another.com/page1,chrome_tab_2,767,115,145,91
2025-08-01 09:02:20,mousemove,move,Excel,excel,,,,
2025-08-01 09:02:27,mousemove,drag,https://example.com/dashboard,chrome_tab_1,,,,
2025-08-01 09:02:30,keypress,Ctrl+C,https://another.com/page2,chrome_tab_1,,,,
2025-08-01 09:02:31,keypress,key_B,Excel,unknown_app_10,,,,
2025-08-01 09:02:41,mousemove,drag,Outlook,outlook,,,,
2025-08-01 09:02:48,mousemove,move,https://example.com/settings,chrome_tab_2,,,,
2025-08-01 09:02:52,scroll,scroll_down,Cmd,cmd,,,,
2025-08-01 09:02:58,keypress,Enter,Notepad,notepad,,,,
2025-08-01 09:03:05,click,double_click,Vscode,vscode,1502,899,126,19
2025-08-01 09:03:10,scroll,scroll_up,https://example.com/dashboard,chrome_tab_2,,,,
2025-08-01 09:03:15,mousemove,move,Cmd,cmd,,,,
2025-08-01 09:03:25,scroll,scroll_down,Cmd,cmd,,,,
2025-08-01 09:03:30,keypress,key_A,Excel,excel,,,,
2025-08-01 09:03:31,keypress,key_A,https://example.com/home,chrome_tab_1,,,,
2025-08-01 09:03:40,mousemove,move,Vscode,vscode,,,,
2025-08-01 09:03:42,click,right_click,https://another.com/page2,chrome_tab_1,283,897,148,68
2025-08-01 09:03:50,scroll,scroll_up,Cmd,cmd,,,,
2025-08-01 09:03:56,mousemove,move,Vscode,vscode,,,,
2025-08-01 09:03:59,keypress,Enter,https://example.com/dashboard,chrome_tab_1,,,,
2025-08-01 09:04:01,mousemove,drag,Outlook,outlook,,,,
2025-08-01 09:04:06,scroll,scroll_down,Cmd,cmd,,,,
2025-08-01 09:04:13,keypress,Ctrl+V,Notepad,notepad,,,,
2025-08-01 09:04:22,mousemove,move,Notepad,notepad,,,,
